gh_team_size,num_projects
0,21
1,216
2,476
3,545
4,525
5,507
6,440
7,391
8,335
9,289
10,245
11,225
12,198
13,176
14,147
15,133
16,116
17,100
18,89
19,80
20,66
21,66
22,59
23,56
24,51
25,52
26,49
27,43
28,40
29,37
30,40
31,35
32,33
33,33
34,35
35,32
36,33
37,30
38,28
39,28
40,22
41,23
42,20
43,19
44,18
45,17
46,17
47,16
48,16
49,14
50,13
51,11
52,11
53,11
54,10
55,8
56,8
57,8
58,6
59,6
60,5
61,4
62,5
63,3
64,4
65,3
66,3
67,3
68,4
69,4
70,4
71,3
72,2
73,2
74,2
75,4
76,4
77,3
78,3
79,5
80,4
81,4
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,2
100,2
101,2
102,2
103,2
104,1
105,1
106,1
107,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
